hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
CONTENIDO GENERAL,I,INFORMACIÓN GENERAL,,,,70000,CUBIERTAS E IMPERMEABILIZACION,,,,,,,,,,,,,
CONTENIDO GENERAL,Costos Directos Promedio,,Pag.,7,,70500,CIELORASOS:,Pag.,105,,,,,,,,,,,
CONTENIDO GENERAL,Índice de Costos 2025,,Pag.,9,,71000,CUBIERTAS:,Pag.,106,,,,,,,,,,,
CONTENIDO GENERAL,Distribución Costos Directos,,Pag.,10,,72000,IMPERMEABILIZACIONES:,Pag.,106,,,,,,,,,,,
CONTENIDO GENERAL,Costo de Cuadrillas de Mano de Obra,,Pag.,11,,80000,PISOS Y ZOCALOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Tarifas Profesionales de Arquitectura,,Pag.,13,,80500,SUB-BASES:,Pag.,107,,,,,,,,,,,
CONTENIDO GENERAL,Tarifas Profesionales de Ingeniería,,Pag.,15,,81000,DE BALDOSAS:,Pag.,107,,,,,,,,,,,
CONTENIDO GENERAL,Directorio Regional de Proveedores,,Pag.,16,,81500,DE CERAMICA:,Pag.,107,,,,,,,,,,,
CONTENIDO GENERAL,,,,3,,82000,DE GRANITO:,Pag.,108,,,,,,,,,,,
CONTENIDO GENERAL,II,LISTAS DE PRECIOS DE RECURSOS E INSUMOS,,,,82500,DE CONCRETO:,Pag.,108,,,,,,,,,,,
CONTENIDO GENERAL,Acabados,,Pag.,28,,83000,DE EXTERIORES:,Pag.,109,,,,,,,,,,,
CONTENIDO GENERAL,Accesorios,,Pag.,29,,84000,ZOCALOS:,Pag.,109,,,,,,,,,,,
CONTENIDO GENERAL,Aceros,,Pag.,30,,90000,ENCHAPES Y REVESTIMIENTOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Aditivos de Construcción,,Pag.,31,,90500,GENERALES INTERIORES:,Pag.,109,,,,,,,,,,,
CONTENIDO GENERAL,Agregados de Concreto,,Pag.,32,,100000,INSTALACIONES HIDRAULICAS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Bloques y ladrillos,,Pag.,33,,100500,AGUA POTABLE:,Pag.,110,,,,,,,,,,,
CONTENIDO GENERAL,Carpintería Metálica y Madera,,Pag.,36,,101000,AGUAS NEGRAS:,Pag.,112,,,,,,,,,,,
CONTENIDO GENERAL,Cerraduras ,,Pag.,39,,101500,RED DE VENTILACION:,Pag.,113,,,,,,,,,,,
CONTENIDO GENERAL,Concretos y cementos,,Pag.,41,,102000,AGUAS LLUVIAS:,Pag.,113,,,,,,,,,,,
CONTENIDO GENERAL,Cubiertas ,,Pag.,42,,110000,INSTALACIONES ELECTRICAS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Enchapes y Pisos,,Pag.,46,,110500,ACOMETIDAS:,Pag.,113,,,,,,,,,,,
CONTENIDO GENERAL,Equipos,,Pag.,52,,111000,SALIDAS:,Pag.,114,,,,,,,,,,,
CONTENIDO GENERAL,Ferreterias ,,Pag.,56,,111500,SUBESTACIONES Y TABLEROS:,Pag.,114,,,,,,,,,,,
CONTENIDO GENERAL,Geotextiles ,,Pag.,58,,120000,APARATOS SANITARIOS:,,,,,,,,,,,,,
CONTENIDO GENERAL,Griferías,,Pag.,59,,120500,JUEGOS COMPLETOS:,Pag.,115,,,,,,,,,,,
CONTENIDO GENERAL,Icopor y Prefabricados,,Pag.,61,,121000,JUEGOS AUXILIARES:,Pag.,115,,,,,,,,,,,
CONTENIDO GENERAL,Impermeabilizantes y Asfaltos,,Pag.,63,,121500,UNIDADES:,Pag.,116,,,,,,,,,,,
